"pdfNumber","pdfQuestion","pdfAnswer"
"194","La energía cinética de un vehículo:","aumenta con el cuadrado de su velocidad."
"195","De los factores que se indican, ¿cuál no debe tener en cuenta un conductor al seleccionar la relación de marchas adecuada?","La presión atmosférica."
"196","El número de revoluciones del motor, ¿es un dato a tener en cuenta para seleccionar la relación de marchas más adecuada?","Sí."
"197","La masa del vehículo, ¿es un dato a tener en cuenta para seleccionar la relación de marchas más adecuada?","Sí."
"198","La carga que transporte un vehículo, ¿es un dato a tener en cuenta para seleccionar la relación de marchas más adecuada?","Sí."
"199","La desmultiplicación que ofrezca la caja de velocidades, ¿es un dato a tener en cuenta para seleccionar la relación de marchas más adecuada?","Sí."
"200","¿Es el perfil de la carretera un dato a tener en cuenta para seleccionar la relación de marchas más adecuada?","Sí."
"201","El efecto ""fading"" se produce cuando:","se hace un mal uso del freno de servicio."
"202","El efecto ""fading"" se produce si se abusa:","del freno de servicio."
"203","Por razones de seguridad, al bajar pendientes descendentes con un vehículo pesado, es conveniente:","hacer uso del ralentizador y, en caso necesario, del freno de servicio."
"207","¿Es conveniente, durante la conducción, aprovechar la inercia de un vehículo en movimiento?","Sí."
"225","Si un vehículo no cuenta con dispositivo de ABS, ¿cómo se debe realizar una frenada de emergencia?","Con fuerza, pero evitando cualquier bloqueo."
"227","En un vehículo dotado de ABS, ¿cómo se debe proceder ante una frenada de emergencia?","Pisando el freno a fondo."
"235","El freno motor en el escape limita la salida de gases en el escape no dejándolos salir en su totalidad, ¿qué se consigue con esto?","Frenar el desplazamiento de los pistones y, en consecuencia, frenar el vehículo."
"271","de los automóviles actuales, cuando el vehículo circula, para que el consumo sea nulo…","será necesario no acelerar, no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades."
"272","En los motores de los automóviles actuales, cuando el vehículo circula, para que el consumo sea nulo, será necesario no acelerar y, además…","no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades."
"273","En los motores de los automóviles actuales, cuando el vehículo circula, para que el consumo sea nulo, será necesario no acelerar y, además…","tener seleccionada una relación de marchas en la caja de velocidades y no pisar el pedal del embrague."
"274","En los motores de los automóviles actuales, cuando el vehículo circula, para que el consumo sea nulo, será necesario no acelerar y, además, …","tener seleccionada una relación de marchas en la caja de velocidades y no pisar el pedal del embrague."
"275","En los motores de los automóviles actuales, cuando el vehículo circula, para que el consumo sea nulo, será necesario no acelerar y, además…","no pisar el pedal del embrague y tener seleccionada una relación de marchas en la caja de velocidades."
"286","La utilización de una relación de marchas alta y la reducción de las revoluciones por minuto del motor de un vehículo pesado, ¿permite reducir el consumo de carburante?","Sí."
"294","Ante una situación en la que se tenga que realizar una frenada de emergencia…","se debe evitar el bloqueo de las ruedas."
"298","¿Es conveniente saltarse una o varias marchas?","Sí, en algunas circunstancias."
"306","Para hacer uso del freno motor se debe:","seleccionar una relación de marchas más corta."
"311","¿En qué tipo de vehículos se suelen usar los retardadores llamados ""intárder""? En vehículos pesados. ¿En qué tipo de vehículos se usan los retardadores llamados ""retárder""?","en vehículos pesados."
"324","¿Qué elemento puede condicionar la frenada de un vehículo pesado?","• La carga transportada. • La sujeción de la carga. • La distribución de la carga. • Todas las respuestas son correctas."
"325","¿Qué debe tenerse en cuenta en frenadas de emergencia durante los descensos?","Que pueden producirse importantes desplazamientos de cargas."
"326","Respecto de la frenada en un vehículo cisterna, es importante tener en cuenta","que... pueden producirse desplazamientos de líquidos en su interior."
"327","¿Qué debe hacerse antes de iniciar una bajada prolongada con un vehículo pesado?","Reducir la velocidad."
"328","¿Qué debe hacerse si el vehículo coge velocidad en una bajada prolongada?","Pisar de forma progresiva el freno de servicio."
"329","¿A qué velocidad instantánea es recomendable poner un vehículo en una bajada prolongada?","20 km/h por debajo de la que se considere segura para la conducción."
"330","¿Qué ocurre si se toman curvas demasiado deprisa?","Se generan fuerzas en sentido transversal que pueden hacer perder el control sobre el vehículo."
"331","¿Qué ocurre si se realiza un cambio de dirección brusco?","Se generan fuerzas en sentido transversal que pueden hacer perder el control sobre el vehículo."
"332","¿Por qué siglas es conocido el sistema de frenado de emergencia?","AEBS."
"333","Un sistema AEBS tiene, entre otras, la función de...","avisar de la existencia de obstáculos en la vía."
"334","El sistema avanzado de frenado de emergencia…","realiza una frenada de emergencia cuando la colisión frontal es inminente."
"335","Al sistema avanzado de frenado de emergencia también se le conoce por las","siglas... AEBS."
"336","Con las siglas AEBS se está haciendo referencia...","a un sistema electrónico capaz de detectar automáticamente una posible colisión frontal."
"337","¿Qué puede provocar un exceso de frenado en una carretera resbaladiza?","el bloqueo de las ruedas."
"338","¿Qué efecto produce sobre el vehículo una rueda bloqueada?","D Inestabilidad del vehículo."
"339","¿Qué efecto produce sobre el vehículo una rueda delantera bloqueada?","Hace ingobernable al vehículo."
"340","¿Cómo es el esfuerzo de las ruedas en el momento de la frenada?","Depende del peso que soporte cada una de ellas."
"341","¿Cómo incide en un vehículo que una rueda frene más que el resto?","Hace que el vehículo se desvíe hacia su lado."
"342","¿Qué sistema activa, en todos los ejes, los cilindros del sistema de freno de servicio cuando se acciona el pedal de freno?","EBS."
"343","¿Qué acciones lleva a cabo el sistema EBS?","Activa en todos los ejes los cilindros del sistema de freno de servicio."
"344","¿En qué momento entra en acción el sistema EBS?","Al pisar el pedal del freno."
"345","¿Cómo actúa el sistema EBS?","• Provoca la reacción inmediata de los frenos. • Genera una acción uniforme de los frenos. • Hace posible una actuación simultánea de los frenos. • Todas las respuestas son correctas."
"346","¿Qué funciones tiene, entre otras, el sistema EBS?","Distribuye la fuerza de frenado entre las ruedas."
"347","Por lo general, ¿hasta qué velocidad del vehículo hace el sistema ABS que sigan girando las ruedas?","Hasta los 6 o 7 km/h."
"348","El sistema ABS mantiene el giro de las ruedas hasta un límite establecido que normalmente es…","6 o 7 km/h."
"349","¿Cuál es la base del funcionamiento del sistema ABS?","La comparación entre la velocidad angular de cada rueda y la velocidad del vehículo."
"350","¿Cuándo actúa el sistema ABS?","Cuando la velocidad angular de una rueda desciende bruscamente respecto de la del vehículo."
"351","¿Qué acciones lleva a cabo el sistema ABS?","• Capta la velocidad angular de cada rueda y la compara con la del vehículo. • Compara la velocidad de cada rueda con la del vehículo. • Calcula el momento del bloqueo de una rueda y reduce la presión del freno sobre la misma • Todas las respuestas son correctas."
"352","¿Cómo se denomina el sistema de control de tracción de las ruedas?","TCS."
"355","¿Qué acciones realiza el sistema TCS?","Compara el giro de las ruedas motrices con las que no lo son."
"356","¿Cómo detecta el sistema TCS la falta de adherencia de las ruedas motrices?","Comparando el giro de las ruedas motrices con las que no lo son."
"357","¿Cuándo actúa el sistema TCS?","Al detectar falta de adherencia en las ruedas motrices."
"358","¿Cuándo no es aconsejable utilizar el sistema TCS?","Usando cadenas."
"359","¿Cuándo no es aconsejable utilizar el sistema de control de tracción?","Usando cadenas."
"360","El sistema de control de tracción puede actuar…","solo sobre el motor."
"361","¿Cómo actúa el sistema TCS sobre las ruedas?","Frena la rueda motriz que adquiera excesiva velocidad respecto de la otra."
"362","¿Cómo actúa el sistema TCS sobre el motor?","Cuando las dos ruedas motrices se embalan, reduce la potencia del motor."
"363","¿Con qué siglas se conocen los sistemas de vigilancia de los vehículos?","IVMS."
"364","¿Qué son los sistemas IVMS?","Son sistemas de vigilancia de los vehículos."
"365","¿Cuáles de las siguientes funciones corresponde a un sistema IVMS?","Control de la flota de vehículos a través de la geolocalización."
"366","¿Cuál de las siguientes funciones corresponde a un sistema IVMS?","Control de la flota de vehículos a través de la geolocalización."
"367","¿Cuál de las siguientes funciones corresponde a un sistema IVMS?","Estimación de los tiempos de entrega de las mercancías."
